date,time,stock,alert_type,score,alert_price,followed_up
05-01-2026,09:19:58,UNIONBANK,BULLISH,0,160.47,FALSE
05-01-2026,09:23:56,TATASTEEL,BULLISH,0,186.22,FALSE
05-01-2026,09:23:58,TATASTEEL,BULLISH,0,186.09,FALSE
05-01-2026,09:28:25,BEL,BULLISH,0,411.7,FALSE
05-01-2026,09:28:27,BEL,BULLISH,0,411.55,FALSE
05-01-2026,10:12:21,IDEA,BULLISH,0,12.03,FALSE
05-01-2026,10:12:25,IDEA,BULLISH,0,12.05,FALSE
05-01-2026,10:18:42,ABCAPITAL,BULLISH,0,367.25,FALSE
05-01-2026,10:18:47,BANDHANBNK,BULLISH,0,149.44,FALSE
05-01-2026,10:21:10,ABCAPITAL,BULLISH,0,367.5,FALSE
05-01-2026,10:21:19,BANDHANBNK,BULLISH,0,149.22,FALSE
05-01-2026,10:25:42,TATASTEEL,BULLISH,0,186.63,FALSE
05-01-2026,10:25:51,TATASTEEL,BULLISH,0,186.63,FALSE
05-01-2026,10:29:29,BEL,BULLISH,0,418.75,FALSE
05-01-2026,10:29:35,BEL,BULLISH,0,418.75,FALSE
05-01-2026,10:37:05,YESBANK,BULLISH,0,22.66,FALSE
05-01-2026,10:37:12,YESBANK,BULLISH,0,22.65,FALSE
05-01-2026,11:07:43,BANKBARODA,BULLISH,0,310.2,FALSE
05-01-2026,11:09:52,BANKBARODA,BULLISH,0,310.2,FALSE
05-01-2026,11:19:20,BANDHANBNK,BULLISH,0,148.06,FALSE
05-01-2026,11:22:43,BANDHANBNK,BULLISH,0,147.97,FALSE
05-01-2026,11:26:01,TATASTEEL,BULLISH,0,185.4,FALSE
05-01-2026,11:26:47,TATASTEEL,BULLISH,0,185.4,FALSE
05-01-2026,11:29:30,BEL,BULLISH,0,415.25,FALSE
05-01-2026,11:29:47,BEL,BULLISH,0,415.3,FALSE
05-01-2026,12:16:53,ABCAPITAL,BULLISH,0,367.45,FALSE
05-01-2026,12:16:54,ABCAPITAL,BULLISH,0,367.45,FALSE
05-01-2026,12:21:31,BANDHANBNK,BULLISH,0,148.34,FALSE
05-01-2026,12:23:41,BANDHANBNK,BULLISH,0,148.25,FALSE
05-01-2026,12:26:30,TATASTEEL,BULLISH,0,186.2,FALSE
05-01-2026,12:28:48,TATASTEEL,BULLISH,0,186.2,FALSE
05-01-2026,12:30:52,BEL,BULLISH,0,417.7,FALSE
05-01-2026,12:30:58,BEL,BULLISH,0,417.7,FALSE
05-01-2026,12:44:33,UNIONBANK,BULLISH,0,163.35,FALSE
05-01-2026,12:45:19,UNIONBANK,BULLISH,0,163.33,FALSE
05-01-2026,12:50:19,YESBANK,BULLISH,0,22.68,FALSE
